Effort,Risk,Category,Hours,Feature,Notes
1,1,,ewfwef,Add wefwefController,
0.5,1,,ewfwef,Add wefwefController#index,
0.5,1,,ewfwef,Add wefwefController#show,
0.5,1,,ewfwef,Add wefwefController#new,
0.5,1,,ewfwef,Add wefwefController#create,
0.5,1,,ewfwef,Add wefwefController#edit,
0.5,1,,ewfwef,Add wefwefController#update,
0.5,1,,ewfwef,Add wefwefController#destroy,
1,1,,ewfwef,Add wefwef/index page,
0.5,1,,ewfwef,Add wefwef/edit page,
0.5,1,,ewfwef,Add wefwef/new page,
1,1,,ewfwef,Add wefwef/show page,
1,1,,ewfwef,Add wefwef/_form partial,
0.5,1,,ewfwef,Add routes for CRUD actions in wefwefController,
1,1,,ewfwef,Add wefwef Datatable,
0.5,1,,ewfwef,Add Logging for all actions in wefwefController,
0.5,1,,ewfwef,Add authorization for all actions in wefwefController,
,,,ewfwef,Add wefwef method to model,
,,,ewfwef,EMAIL FOR wefwef METHOD?,
,,,ewfwef,Add Logging for wefwef method,
,,,ewfwef,Add model: wefwef,
1,1,,ewfwef,Add wefwefController,
0.5,1,,ewfwef,Add wefwefController#index,
0.5,1,,ewfwef,Add wefwefController#show,
0.5,1,,ewfwef,Add wefwefController#new,
0.5,1,,ewfwef,Add wefwefController#create,
0.5,1,,ewfwef,Add wefwefController#edit,
0.5,1,,ewfwef,Add wefwefController#update,
0.5,1,,ewfwef,Add wefwefController#destroy,
1,1,,ewfwef,Add wefwef/index page,
0.5,1,,ewfwef,Add wefwef/edit page,
0.5,1,,ewfwef,Add wefwef/new page,
1,1,,ewfwef,Add wefwef/show page,
1,1,,ewfwef,Add wefwef/_form partial,
0.5,1,,ewfwef,Add routes for CRUD actions in wefwefController,
1,1,,ewfwef,Add wefwef Datatable,
0.5,1,,ewfwef,Add Logging for all actions in wefwefController,
0.5,1,,ewfwef,Add authorization for all actions in wefwefController,
,,,ewfwef,Add wefwef method to model,
,,,ewfwef,EMAIL FOR wefwef METHOD?,
,,,ewfwef,Add Logging for wefwef method,
,,,ewfwef,Add model: wefwef,
