Effort,Risk,Category,Hours,Feature,Notes
,,,cat1,Add Something attribute to datatables,
,,,cat1,Add migration for old records,
,,,cat1,Add Validations for Something attribute,
,,,cat1,Add Something attribute,
,,,cat1,Add Logging for A method method,
,,,cat1,EMAIL FOR A method METHOD?,
,,,cat1,Add A method method to model,
0.5,1,,cat1,Add authorization for all actions in Member::FileController,
0.5,1,,cat1,Add Logging for all actions in Member::FileController,
1,1,,cat1,Add Member::File Datatable,
0.5,1,,cat1,Add routes for CRUD actions in Member::FileController,
1,1,,cat1,Add Member::File/_form partial,
1,1,,cat1,Add Member::File/show page,
0.5,1,,cat1,Add Member::File/new page,
0.5,1,,cat1,Add Member::File/edit page,
1,1,,cat1,Add Member::File/index page,
0.5,1,,cat1,Add Member::FileController#destroy,
0.5,1,,cat1,Add Member::FileController#update,
0.5,1,,cat1,Add Member::FileController#edit,
0.5,1,,cat1,Add Member::FileController#create,
0.5,1,,cat1,Add Member::FileController#new,
0.5,1,,cat1,Add Member::FileController#show,
0.5,1,,cat1,Add Member::FileController#index,
1,1,,cat1,Add Member::FileController,
0.5,1,,cat1,Add authorization for all actions in Admin::FileController,
0.5,1,,cat1,Add Logging for all actions in Admin::FileController,
1,1,,cat1,Add Admin::File Datatable,
0.5,1,,cat1,Add routes for CRUD actions in Admin::FileController,
1,1,,cat1,Add Admin::File/_form partial,
1,1,,cat1,Add Admin::File/show page,
0.5,1,,cat1,Add Admin::File/new page,
0.5,1,,cat1,Add Admin::File/edit page,
1,1,,cat1,Add Admin::File/index page,
0.5,1,,cat1,Add Admin::FileController#destroy,
0.5,1,,cat1,Add Admin::FileController#update,
0.5,1,,cat1,Add Admin::FileController#edit,
0.5,1,,cat1,Add Admin::FileController#create,
0.5,1,,cat1,Add Admin::FileController#new,
0.5,1,,cat1,Add Admin::FileController#show,
0.5,1,,cat1,Add Admin::FileController#index,
1,1,,cat1,Add Admin::FileController,
,,,cat1,Add model: File,
